start_time=11APRIL2002 0000
interval=1day
14ml_sl|FLOW,3mile_sl|FLOW,RSAN032|FLOW,SLMZU032|FLOW,523_0|FLOW,RMID015|FLOW,ROLD024|FLOW,RSAC092|FLOW,RSAC101|FLOW,RSAN007|FLOW,RSAN018|FLOW,045_0|FLOW,RSAN037|FLOW,RSAN058|FLOW,307_13500|FLOW,308_0|FLOW,SLDUT007|FLOW,GEORG_SL|FLOW,SLTRM004|FLOW,309_0|FLOW,347+364+374|FLOW,RSAC054|FLOW,LTL_HOLLAND_WEST|FLOW,LTL_HOLLAND_SOUTH|FLOW,PROSPECT_NORTH|FLOW,PROSPECT_SOUTH|FLOW,CALHOUNCUT|FLOW,IS3-1|FLOW,IS3-2+IS3-3+IS3-4|FLOW,SUISUN5|FLOW,MONTZWET_N+S_BREACHES|FLOW,IS9-1|FLOW,IS9-2|FLOW,IS10-1|FLOW,IS10-2|FLOW,IS10-3|FLOW,IS10-4|FLOW,MCCOR_WILLIAMSON-258|FLOW,MCCOR_WILLIAMSON-256+260|FLOW,DECKER_NW|FLOW,SHAGSLOUGH|FLOW,SNODGRASSSLOUGH|FLOW,47_LEN|FLOW,279_LEN|FLOW,280_LEN|FLOW
5498.54,101.31,4140.85,184.76,1311.96,-1829.50,-1128.69,15009.66,15683.72,6687.80,7066.40,2945.90,895.48,620.34,64.64,-8.13,-44.37,2983.21,-1134.72,-1076.91,4054.68,26221.06,-100.02,98.24,2662.41,-2925.42,-17.69,-46.19,-121.82,-40.71,79.13,-142.83,44.22,-7.04,58.09,-585.57,193.69,468.80,-983.74,-180.64,-611.53,-541.21,2747.78,3096.064453,600.0093994
3153.03,-224.53,3171.80,41.79,536.70,-2659.52,-1916.00,10838.96,13005.30,1861.70,2477.16,-1116.13,-873.10,438.02,9.72,-0.92,-232.38,3044.59,-2180.47,-2180.08,3164.21,13737.14,-110.63,110.54,2738.43,-2758.26,-1.23,-30.57,22.75,-0.78,47.08,-98.84,97.17,3.71,101.65,-341.94,228.44,555.67,-658.88,-15.30,-113.21,-181.40,-1504.94,1796.953369,441.9497986
2674.19,-343.54,2801.57,12.64,282.58,-3175.09,-2373.25,9574.20,12273.19,3.52,671.85,-2717.94,-1597.05,392.22,-6.46,1.41,-313.69,3040.37,-2591.62,-2608.63,2816.64,9125.95,-109.80,109.93,2722.59,-2703.55,1.98,-27.19,48.12,15.44,27.49,-91.35,109.59,8.51,127.62,-298.89,231.09,576.11,-567.95,11.90,21.15,-3.39,-3149.79,1250.997192,382.249115
2031.77,-417.08,2485.64,113.20,48.67,-3000.65,-2229.00,8037.56,10968.97,-1223.97,-310.58,-3411.60,-1790.81,446.13,-28.55,4.55,-342.54,2954.13,-2668.67,-2709.05,2531.62,4987.37,-106.66,107.10,2668.90,-2593.39,6.95,-23.62,74.62,33.87,42.45,-81.87,125.93,15.62,159.16,-254.81,236.89,587.68,-505.70,40.14,119.41,75.97,-3950.10,1025.687622,349.4924622
3054.13,-104.34,2838.68,269.29,805.07,-1479.59,-857.41,10963.78,12427.61,3343.71,4079.18,529.53,418.41,1099.72,7.17,-2.12,-104.32,2894.96,-1539.21,-1533.81,2836.99,16773.46,-104.02,103.81,2627.56,-2656.02,-3.32,-29.93,5.64,-15.78,23.44,-95.48,72.52,2.20,91.98,-391.88,218.03,580.53,-575.66,-10.03,-19.21,31.15,81.35,2451.527832,486.8511963
2109.56,-217.82,2635.03,331.06,253.12,-1767.87,-1100.52,9398.95,11265.75,1906.61,2981.68,-54.61,403.29,1864.03,-21.17,3.84,-154.99,2842.88,-1633.72,-1669.33,2670.46,9942.38,-91.88,92.26,2582.80,-2520.06,5.92,-22.76,65.21,29.37,26.81,-75.60,111.86,12.24,140.38,-235.76,215.38,568.32,-518.99,34.34,83.51,38.75,-670.26,2063.876709,472.2431946
3127.15,17.00,2848.21,461.73,1086.98,-1227.54,-662.70,11621.76,12465.74,4660.97,5332.60,1889.85,1452.01,2122.09,15.17,-3.62,3.20,2758.42,-995.81,-980.48,2836.05,19872.19,-88.03,87.69,2509.71,-2559.36,-5.38,-30.08,-13.12,-28.55,18.83,-89.17,49.80,-3.68,57.76,-390.00,196.21,547.05,-554.33,-20.20,-29.05,29.17,1431.57,2884.147705,547.9437866
3371.85,117.14,3030.27,542.26,1210.79,-796.27,-323.82,12629.27,13075.01,5878.30,6474.24,3087.28,2019.73,2231.40,23.64,-4.19,81.70,2728.97,-624.54,-603.91,3005.17,21833.08,-79.95,79.53,2470.03,-2542.33,-6.76,-28.41,-14.86,-25.01,-20.32,-84.21,46.74,-7.71,52.99,-344.61,172.40,510.15,-583.47,-32.83,-120.93,-67.90,2655.04,3164.008789,574.2310181
2331.07,-25.26,2635.78,620.56,664.03,-1015.66,-538.49,10552.62,11605.16,3537.84,4453.30,1575.61,1368.96,2257.64,-8.52,1.83,6.59,2666.71,-926.79,-946.44,2653.57,13717.28,-74.43,74.59,2421.88,-2398.28,2.61,-21.31,47.82,19.73,0.08,-65.55,90.42,3.93,114.20,-199.66,172.07,476.78,-468.50,12.09,23.99,-0.54,1010.29,2540.838379,502.6428528
2517.56,25.37,2582.52,622.52,798.19,-817.55,-350.35,10502.04,11260.24,4136.74,5029.25,2050.77,1689.13,2335.13,0.57,-0.15,37.59,2583.00,-737.14,-742.43,2588.39,15613.68,-80.57,80.55,2376.45,-2384.26,-0.35,-23.55,30.80,3.07,9.99,-73.30,80.05,3.97,117.18,-277.32,176.53,440.00,-440.20,-5.15,0.08,8.33,1529.59,2769.440918,517.513916
2641.43,11.69,2646.83,458.90,690.70,-703.21,-206.83,10206.04,10891.31,4702.38,5670.41,2592.64,1981.27,2411.24,4.44,-0.56,14.12,2590.46,-687.58,-690.06,2646.94,16084.31,-91.97,91.90,2419.22,-2439.69,-1.11,-25.13,30.15,0.63,-16.59,-82.56,87.56,7.94,138.80,-326.73,193.13,408.90,-441.91,-15.95,-44.64,-47.64,2076.96,2907.966553,536.2497559
2345.41,-74.08,2499.56,282.69,388.72,-779.15,-244.04,9018.38,9977.74,4039.46,5205.97,2118.74,1851.18,2435.26,-5.78,1.20,-48.39,2607.04,-871.96,-886.76,2513.51,13313.54,-105.71,105.81,2486.13,-2476.56,1.66,-25.62,48.82,12.35,-17.64,-87.29,107.95,15.59,169.13,-335.88,221.07,395.01,-395.34,-0.87,7.61,-16.78,1551.35,2801.812988,522.9622803
1996.21,-156.50,2289.09,167.80,133.06,-911.26,-344.10,7588.24,8812.23,3134.49,4496.25,1404.43,1608.24,2377.70,-15.25,2.77,-107.88,2558.56,-1056.34,-1082.55,2316.06,10212.16,-118.05,118.32,2512.78,-2475.87,4.25,-26.53,66.58,22.63,0.58,-88.61,124.40,22.88,179.90,-336.18,253.78,391.60,-351.82,13.69,68.67,32.14,793.97,2680.764404,505.8906555
2267.19,-145.01,2260.29,38.65,213.65,-1102.22,-492.57,7195.66,8292.27,3355.52,4644.13,1358.20,1621.17,2317.22,-2.73,0.55,-122.87,2438.44,-1038.52,-1049.97,2270.41,11144.35,-128.12,128.16,2479.45,-2480.10,0.66,-30.63,47.43,8.38,2.04,-98.90,112.64,21.93,155.26,-404.97,274.80,380.43,-372.51,-1.55,15.17,12.31,819.34,2800.358643,513.53479
1376.30,-290.19,1954.97,15.30,-343.85,-1062.19,-446.47,5125.49,6795.19,1575.58,3290.07,280.40,1211.12,2276.30,-33.33,6.22,-205.67,2402.42,-1321.83,-1372.49,2006.19,3992.24,-131.14,131.74,2504.55,-2409.15,9.50,-26.27,98.28,47.49,22.26,-87.39,151.85,35.24,201.73,-312.35,304.13,389.10,-311.02,43.39,127.20,59.45,-413.56,2448.663086,473.4455872
1603.72,-267.23,1934.30,64.57,-116.78,-1047.88,-404.40,5515.46,7023.24,2050.77,3740.66,489.32,1401.59,2349.16,-24.02,3.87,-195.56,2400.04,-1277.12,-1313.31,1974.38,6848.83,-136.73,137.14,2531.85,-2457.97,6.53,-29.32,74.06,25.66,48.00,-93.71,131.61,34.17,180.06,-413.36,328.22,402.76,-305.60,34.34,149.00,114.04,-174.69,2686.165527,503.5829773
2756.76,-96.92,2351.40,34.64,438.28,-1035.07,-376.53,7735.25,8577.04,4377.40,5670.42,1955.98,2053.01,2478.62,12.34,-2.46,-106.84,2394.41,-932.75,-924.37,2342.02,14729.65,-139.45,139.21,2519.13,-2557.90,-3.80,-35.59,13.27,-15.00,17.55,-108.77,87.30,21.92,123.69,-538.66,318.87,395.11,-414.60,-17.23,-43.76,-0.60,1454.43,3270.20874,572.2755737
2526.83,-113.68,2346.29,33.63,301.11,-896.68,-270.67,7579.07,8512.63,4205.64,5553.46,1976.17,2070.25,2512.35,3.29,-0.63,-105.40,2408.31,-930.52,-934.10,2348.82,13249.21,-135.08,135.02,2525.82,-2533.47,-1.01,-33.18,30.42,-0.80,0.85,-103.42,99.54,23.69,139.44,-482.64,309.19,396.20,-410.10,-1.51,-25.92,-17.91,1424.65,3201.164063,564.3397217
2356.22,-117.57,2280.86,112.30,315.09,-888.17,-270.82,7463.47,8422.81,3947.41,5294.55,1854.55,2019.49,2563.52,-0.95,0.10,-97.87,2400.88,-916.67,-925.15,2289.33,12515.46,-128.92,128.93,2495.30,-2486.70,0.27,-31.83,33.57,2.85,5.81,-98.85,99.53,21.79,143.13,-451.63,292.38,397.11,-387.53,8.57,13.87,10.89,1286.85,3100.654785,553.5898438
2583.05,-58.77,2400.27,238.58,568.01,-948.00,-335.49,8272.69,9031.65,4358.39,5535.27,2125.92,2067.16,2607.87,7.52,-1.44,-56.62,2420.58,-792.28,-790.07,2397.59,14640.14,-120.32,120.19,2463.10,-2475.11,-2.02,-31.73,15.54,-7.81,6.45,-98.27,83.86,15.22,122.96,-450.40,265.04,423.69,-429.28,-1.02,-14.62,5.51,1603.87,3134.172607,561.5274048
2893.42,14.78,2561.22,327.97,844.88,-1074.08,-497.19,9203.42,9756.40,4809.09,5718.52,2324.31,2001.34,2533.45,20.26,-3.65,-14.46,2428.72,-694.05,-677.05,2541.49,17032.56,-109.38,109.03,2395.34,-2449.34,-5.60,-32.06,-5.71,-21.50,-5.54,-96.57,64.30,6.13,94.63,-441.68,230.01,414.02,-466.21,-20.38,-79.01,-39.59,1881.70,3117.783203,561.293396
3051.08,76.79,2596.80,361.26,1020.86,-1010.32,-506.54,9547.23,9878.14,5133.84,5861.25,2549.64,2012.82,2432.61,28.20,-5.10,25.53,2351.29,-548.28,-521.27,2566.26,18378.10,-98.37,97.86,2284.42,-2369.82,-8.15,-31.54,-19.97,-30.01,-23.46,-95.63,52.86,-0.43,83.97,-432.48,199.43,391.78,-475.53,-36.07,-133.65,-79.53,2170.71,3104.123291,547.7391968
